2019/12/23 22:38:48	 管理员查找用户  hzl 的信息成功 
2019/12/23 22:38:49	 管理员返回管理员用户   界面成功 
2019/12/23 22:40:33	 用户hzl登陆成功
2019/12/23 22:40:37	 用户 hzl 提出了 10 元的取款请求
2019/12/23 22:40:49	 管理员 root 登录成功
2019/12/23 22:40:51	 管理员 hzl 同意了用户 hzl 的 10 元的取款请求
2019/12/23 22:40:51	 用户 hzl 取款 10 成功
2019/12/23 22:41:03	 用户 hzl 提出了 10 元的存款请求
2019/12/23 22:41:48	 用户hzl登陆成功
2019/12/23 22:41:52	 用户 hzl 提出了 10 元的存款请求
2019/12/23 22:42:04	 管理员 root 登录成功
2019/12/23 22:42:15	 管理员查找用户  hzl 的信息成功 
2019/12/23 22:42:35	 管理员返回管理员用户   界面成功 
2019/12/23 22:42:44	 管理员 hzl 同意了用户 hzl 的 10 元的存款请求
2019/12/23 22:42:44	 用户 hzl 充值 10 成功
2019/12/23 22:42:47	 管理员查找用户  hzl 的信息成功 
2019/12/23 22:42:49	 管理员返回管理员用户   界面成功 
2019/12/23 22:42:57	 用户查找自己信息   成功 
2019/12/23 22:43:03	 管理员返回管理员用户   界面成功 
2019/12/23 22:43:06	 用户查找自己信息   成功 
2019/12/23 22:43:07	 用户返回用户界面   成功 
2019/12/24 08:25:51	 用户hzl登陆成功
2019/12/24 08:25:52	 用户查找自己信息   成功 
2019/12/24 08:26:41	 用户hzl登陆成功
2019/12/24 08:26:46	 用户查找自己信息   成功 
2019/12/24 08:26:48	 用户返回用户界面   成功 
2019/12/24 08:26:55	 用户 hzl 提出了 10 元的存款请求
2019/12/24 08:27:30	 管理员 root 登录成功
2019/12/24 08:27:37	 管理员查找用户  hzl 的信息成功 
2019/12/24 08:27:42	 管理员返回管理员用户   界面成功 
2019/12/24 08:27:45	 管理员 hzl 同意了用户 hzl 的 10 元的存款请求
2019/12/24 08:27:45	 用户 hzl 充值 10 成功
2019/12/24 08:27:47	 管理员查找用户  hzl 的信息成功 
2019/12/24 08:27:53	 管理员返回管理员用户   界面成功 
2019/12/24 08:28:02	 用户查找自己信息   成功 
2019/12/24 08:28:05	 用户返回用户界面   成功 
2019/12/24 08:28:14	 用户 hzl 提出了 10 元的取款请求
2019/12/24 08:28:25	 管理员 root 登录成功
2019/12/24 08:28:34	 管理员查找用户  hzl 的信息成功 
2019/12/24 08:28:38	 管理员返回管理员用户   界面成功 
2019/12/24 08:28:42	 管理员 hzl 同意了用户 hzl 的 10 元的取款请求
2019/12/24 08:28:42	 用户 hzl 取款 10 成功
2019/12/24 08:28:44	 管理员查找用户  hzl 的信息成功 
2019/12/24 08:28:48	 管理员返回管理员用户   界面成功 
2019/12/24 08:29:00	 用户查找自己信息   成功 
2019/12/24 08:29:04	 用户返回用户界面   成功 
2019/12/24 08:29:15	 用户修改密码  成功 
2019/12/24 08:29:36	 用户hzl登陆成功
2019/12/24 08:39:35	 用户hzl登陆成功
2019/12/24 08:39:46	 用户查找自己信息   成功 
2019/12/24 08:39:55	 用户返回用户界面   成功 
2019/12/24 08:40:01	 用户 hzl 提出了 10 元的存款请求
2019/12/24 08:40:13	 管理员 root 登录成功
2019/12/24 08:40:22	 管理员查找用户  hzl 的信息成功 
2019/12/24 08:40:32	 管理员返回管理员用户   界面成功 
2019/12/24 08:40:33	 管理员 hzl 同意了用户 hzl 的 10 元的存款请求
2019/12/24 08:40:33	 用户 hzl 充值 10 成功
2019/12/24 08:40:37	 管理员查找用户  hzl 的信息成功 
2019/12/24 08:40:44	 管理员返回管理员用户   界面成功 
2019/12/24 08:40:50	 用户查找自己信息   成功 
2019/12/24 08:40:54	 用户返回用户界面   成功 
2019/12/24 08:41:04	 用户 hzl 提出了 10 元的取款请求
2019/12/24 08:41:15	 管理员 root 登录成功
2019/12/24 08:41:22	 管理员查找用户  hzl 的信息成功 
2019/12/24 08:41:27	 管理员返回管理员用户   界面成功 
2019/12/24 08:41:28	 管理员 hzl 同意了用户 hzl 的 10 元的取款请求
2019/12/24 08:41:28	 用户 hzl 取款 10 成功
2019/12/24 08:41:30	 管理员查找用户  hzl 的信息成功 
2019/12/24 08:41:34	 管理员返回管理员用户   界面成功 
2019/12/24 08:41:43	 用户查找自己信息   成功 
2019/12/28 15:39:03	 用户hzl登陆成功
2019/12/28 15:39:30	 用户查找自己信息   成功 
2019/12/28 15:39:47	 用户返回用户界面   成功 
2019/12/28 15:40:16	 用户修改密码  成功 
2019/12/28 15:40:57	 用户hzl登陆成功
2019/12/28 15:41:27	 用户hzl登陆成功
2019/12/28 15:41:50	 用户 hzl 提出了 10 元的存款请求
2019/12/28 15:42:14	 管理员 root 登录成功
2019/12/28 15:42:38	 管理员查找用户  hzl 的信息成功 
2019/12/28 15:42:55	 管理员返回管理员用户   界面成功 
2019/12/28 15:42:58	 管理员 hzl 同意了用户 hzl 的 10 元的存款请求
2019/12/28 15:42:58	 用户 hzl 充值 10 成功
2019/12/28 15:43:27	 管理员查找用户  hzl 的信息成功 
2019/12/28 15:43:43	 管理员返回管理员用户   界面成功 
2019/12/28 15:44:03	 用户查找自己信息   成功 
2019/12/28 15:44:18	 管理员返回管理员用户   界面成功 
